,Product Name,Brand Name,Detail,Dose,Pack Size,Features,Image Link,Product Link
0,GroShakti Plus,Coromandel,"GroShakti Plus is a superior complex Fertilizer with EnPhos Technology and fortified Zinc. It has the Extra Power to Increase the yield, coupled with superior quality Produce. It is suitable for various crops like Cereals, Pulses, Oilseeds, Fruit and Vegetable crops etc.",,Pack Size 50 KG,"Enhanced 14-35-14, Zincated with EnPhos Technology
Highest nutrient content among N:P:K fertilizers with 63% nutrients.
N : P2O5 : K2O in the ratio of 1:2.5:1, which is scientifically ideal for basal application and top dressing.
It also contains Potassium (14%) besides Nitrogen and Phosphorous helps for higher quality",https://www.coromandel.biz/wp-content/uploads/2021/11/groshakti_plus_big.png,https://www.coromandel.biz/product-service/groshakti-plus/
1,GROSHAKTI,Coromandel,"The complete balanced fertiliser with Nitrogen at 14%, Phosphorus at 35% and Potassium at 14%, along with secondary and micro-nutrients for paddy, cotton, chillies etc.",,Pack Size 50 KG,"Highest nutrient content among N:P:K fertilizers with 63% nutrients.
Highest phosphorous content of 35% among NPK Grades.
N:P2O5:K2O in the ratio of 1:2.5:1, which is scientifically ideal for basal application and top dressing.
It also contains Potassium (14%) besides Nitrogen and Phosphorous helps for higher quality.",https://www.coromandel.biz/wp-content/uploads/2021/06/groshakti_big.png,https://www.coromandel.biz/product-service/groshakti/
2,GROSMART,Coromandel,"A unique fertiliser with Micronized Sulphur Technology, which provides Sulphur for a longer period for Sulphur loving crops like Onion, Soyabean etc.",,Pack Size 50 KG,"GroSmart 24-24-0-8 is a unique fertiliser supplies Nitrogen in two forms: 7.5% is in Ammoniacal form and 16.5% in Urea form.
20.0% out of total 24% Phosphate is in water soluble form.
It supplies Sulphur in two forms: Sulphate (4%) which is readily available to plants and elemental Sulphur (4%) which remains in soil for a longer period.",https://www.coromandel.biz/wp-content/uploads/2021/06/grosmart_big.png,https://www.coromandel.biz/product-service/grosmart/
3,PARAMFOS,Coromandel,"With Nitrogen at 16%, Phosphorus at 20% and Sulphur at 13%, this fertiliser is the most preferred one in drill-sown areas and ideal for sugarcane, groundnut, maize etc.",,Pack Size 50 KG,"Paramfos 16-20-0-13 is Ammonium Phosphate Sulphate containing Nitrogen, Phosphorous and Sulphur.
Nitrogen completely in Ammonical form.
More than 85% of Phosphorus in Paramfos is present in water soluble form, highest percentage among available complex fertilisers.
It also contains 13% Sulphur.",https://www.coromandel.biz/wp-content/uploads/2021/06/paramfos_big.png,https://www.coromandel.biz/product-service/paramfos/
4,GROMOR 28:28:0,Coromandel,"A complex fertiliser containing 2 major nutrients, Nitrogen at 28% and Phosphorus at 28%, provides instantaneous and prolonged greenness for crops.",,Pack Size 50 KG,"This is the highest Nitrogen containing complex fertiliser with 28%.
Nitrogen in two different forms through longer period of time. 19% of Nitrogen is in Urea form and 9% is in Ammoniacal form.
25.2% out of 28% Phosphate is in water soluble form and easily available to plants.
Ammonium Phosphate is coated over Urea prill, due to which the losses from Urea will be minimised.",https://www.coromandel.biz/wp-content/uploads/2021/06/gromor_28_28_0_big.png,https://www.coromandel.biz/product-service/gromor-28-28-0/
5,GROMOR - 20:20:0:13,Coromandel,"An excellent fertiliser for all crops grown in Sulphur deficient soil, with Nitrogen at 20%, Phosphorus at 20% and Sulphur at 13%.",,Pack size 50 Kg,"Contains Nitrogen – 20%, Phosphorus – 20% (P2O5) and Sulphur – 13%.
18% N is available in Ammoniacal (NH4) form and 2% is available in Amide form. Known as Ammonium Phosphate Sulphate.
High amount of P available in water soluble form (85%). 
13% Sulphate sulphur (as S).",https://www.coromandel.biz/wp-content/uploads/2021/06/gromor_20_20_0_13_big.png,https://www.coromandel.biz/product-service/gromor-20-20-0-13/
6,GROMOR 15:15:15:09,Coromandel,"Nitrogen at 15%, Phosphorus at 15%, Potassium at 15% and Sulphur at 9% make this fertiliser ideal for vegetative growth in plantation crops like tea, coffee, arecanut etc.",,Pack Size 50 KG,"Ammonium Phosphate Sulphate with Potash grade with NPK is in 1:1:1 ratio.
Contains N in Ammoniacal and Urea form, which are less prone to leaching thus improves Nitrogen use efficiency.
Out of 15% P, 13% water soluble P2O5.
Contains 15% Potassium and 9% sulphur.",https://www.coromandel.biz/wp-content/uploads/2021/06/gromor_15_15_15_9_big.png,https://www.coromandel.biz/product-service/gromor-15151509/
7,GROMOR - 12:32:16,Coromandel,"GROMOR 12:32:16 is a complex fertiliser containing all three major plant nutrients viz. Nitrogen 12%, Phosphorous 32% and Potassium 16%.",,Pack Size 50 KG,"GROMOR 12:32:16 is a complex fertiliser containing all three major plant nutrients viz. Nitrogen 12%, Phosphorous 32% and Potassium 16%.
This is one of the highest nutrients containing NPK complex fertiliser with total nutrients of 60%.
Nitrogen and Phosphate are available in the ratio 1:2.6 as in the case of DAP, but GROMOR 12:32:16 also contains 16% Potash additionally.
GROMOR 12:32:16 is an ideal complex for soyabean, potato and other commercial crops which require high Phosphate during the initial stages of growth.
GROMOR 12:32:16 helps young plants to establish faster, even under adverse soil or
climatic conditions.
GROMOR 12:32:16 helps in greater root penetration and better root system even in poor soils of unstable structure resulting in higher yield from such soils.",https://www.coromandel.biz/wp-content/uploads/2021/12/gromor_12_32_16_big.png,https://www.coromandel.biz/product-service/gromor-123216/
8,GROMOR ULTRA 10:26:26,Coromandel,A Zinc fortified fertiliser containing 0.5 % Zinc is essential for better yield and quality.,,Pack Size 50 KG,"Unique grade from Coromandel.
Contains Phosphorous and Potassium in 1:1 ratio with Nitrogen, hence ideal for basal applications and top dressing.
Phosphorous is available in mostly water-soluble form and easily available to crops.
It is a Zinc fortified fertiliser containing 0.5 % Zinc which is essential for better yield and quality.
It ensures uniform application of Zinc into soil.",https://www.coromandel.biz/wp-content/uploads/2021/12/gromor_ultra_10_26_26_big.png,https://www.coromandel.biz/product-service/gromor-ultra-102626/
9,GROMOR 10:26:26,Coromandel,"With Nitrogen at 10%, Phosphorus at 26% and Potassium at 26%, it is the most preferred one by farmers for sugarcane, potato and fruits.",,Pack Size 50 KG,"Gromor 10:26:26 is a complex fertiliser containing all the three major plant nutrients viz. Nitrogen, Phosphorous and Potassium.
It contains Phosphorous and Potassium in the ratio of 1:1, the highest among the NPK fertilisers. 
It contains 7% Nitrogen in the ammonical form, 22% out of 26% Phosphate in the water soluble form and the entire 26% Potash is available in the water soluble form.",https://www.coromandel.biz/wp-content/uploads/2021/06/gromor_10_26_26_big.png,https://www.coromandel.biz/product-service/gromor-10-26-26/
10,GROMOR 10:26:26,Coromandel,,,,,,https://www.coromandel.biz/product-services/complex/
11,GROMOR 10:26:26,Coromandel,,,,,,https://www.coromandel.biz/product-services/dap/
12,GROMOR 10:26:26,Coromandel,,,,,,https://www.coromandel.biz/product-services/mop/
13,GROMOR 10:26:26,Coromandel,,,,,,https://www.coromandel.biz/product-services/ssp/
14,GROMOR 10:26:26,Coromandel,,,,,,https://www.coromandel.biz/product-services/urea/
